conceptType,conceptUri,preferredLabel,altLabels,hiddenLabels,status,modifiedDate,scopeNote,inScheme,description
SkillGroup,http://data.europa.eu/esco/skill/25a26ff6-af18-40b0-b2e2-cb58471015eb,values,"scruples
beliefs
morals",,,2017-02-14T12:01:25Z,"Use for personal principles of behaviour. For work styles that can affect how well someone performs a job use <a resource=""http://data.europa.eu/esco/skill/81c66e05-0b64-4cc5-8707-432f59fb6528"" typeOf=""http://www.w3.org/2004/02/skos/core#Concept"" href=""http://data.europa.eu/esco/skill/81c66e05-0b64-4cc5-8707-432f59fb6528""><span property=""http://www.w3.org/2000/01/rdf-schema#label"" xml:lang=""en"">attitudes and values</span></a>.","http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skill-transversal-groups","Principles or standards of behaviour, revealing one's judgement of what is important in life."
SkillGroup,http://data.europa.eu/esco/skill/426ceaba-6867-481c-bb6b-aee3933da7d2,ICT safety,"ICT protection
information and communication technology safety
information and communication technologies safety
ICT welfare maintenance
ICT security
ICT well-being  maintenance",,,2017-02-28T15:49:35Z,,"http://data.europa.eu/esco/concept-scheme/skill-transversal-groups
http://data.europa.eu/esco/concept-scheme/skill-ict-groups
http://data.europa.eu/esco/concept-scheme/skills","Personal protection, data protection, digital identity protection, security measures, safe and sustainable use."
SkillGroup,http://data.europa.eu/esco/skill/4f663b30-1c49-4634-82e4-7e582b1551b7,application of knowledge,"utilization of knowledge
use of knowledge
implementation of knowledge
knowledge application",,,2017-02-15T10:34:44Z,"Use to gather and include general aspects of knowledge contained within other specialist areas such as business, economics etc.","http://data.europa.eu/esco/concept-scheme/skill-transversal-groups
http://data.europa.eu/esco/concept-scheme/skills","General aspects of specialist skills which are commonly used in the workplace and in learning, e.g. ICT, Mathematics; also refers to knowledge of the organisation and the working environment."
SkillGroup,http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143,digital communication and collaboration,"digital communications
paperless communication
electronic communication",,,2017-02-28T15:48:21Z,,"http://data.europa.eu/esco/concept-scheme/skill-transversal-groups
http://data.europa.eu/esco/concept-scheme/skill-ict-groups
http://data.europa.eu/esco/concept-scheme/skills","Communicate in digital environments, share resources through online tools, link with others and collaborate through digital tools, interact with and participate in communities and networks, cross-cultural awareness."
SkillGroup,http://data.europa.eu/esco/skill/58095196-d766-4a5c-b16c-d941489f8e66,language,"dialect
languages",,,2017-01-23T10:19:52Z,,http://data.europa.eu/esco/concept-scheme/skills,"Ability to communicate through reading, writing, speaking and listening in the mother tongue and/or in a foreign language."
SkillGroup,http://data.europa.eu/esco/skill/629685b8-5f9e-4522-8cff-b3e2c4ec625a,digital data processing,"paperless data processing
electronic data processing
processing of data digitally
data processing",,,2017-02-28T15:47:32Z,,"http://data.europa.eu/esco/concept-scheme/skill-ict-groups
http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skill-transversal-groups","Identify, locate, retrieve, store, organise and analyse digital information, judging its relevance and purpose."
SkillGroup,http://data.europa.eu/esco/skill/6e1ac650-52a8-40b8-b1fc-fc5e582882f3,health and safety,"welfare
fitness and safety
safety and health
Well-being and safety
healthy and safe",,,2017-02-14T09:50:53Z,,"http://data.europa.eu/esco/concept-scheme/skill-transversal-groups
http://data.europa.eu/esco/concept-scheme/skills","Knowledge of, and adherence to, relevant regulation and procedures intended to guarantee safe and sustainable work practices for self and other people."
SkillGroup,http://data.europa.eu/esco/skill/7e5147d1-60b1-4a68-804b-1f5cb0396b91,problem-solving with digital tools,"resolving issues with ICT tools and hardware
finding solutions with ICT tools and hardware
ICT tools and hardware problem solving
problem-solving with information and communication technologies tools and hardware
problem-solve with ICT tools and hardware
problem-solving with ICT hardware and tools",,,2017-02-28T15:50:07Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skill-transversal-groups
http://data.europa.eu/esco/concept-scheme/skill-ict-groups","Identify digital needs and resources, make informed decisions on most appropriate digital tools according to the purpose or need, solve conceptual problems through digital means, creatively use technologies, solve technical problems, update own and other's competence."
SkillGroup,http://data.europa.eu/esco/skill/7ee746cb-fded-47f5-9652-19ebebbce51b,Transversal skills/competences,"extended skills
extra skills
transversal competency/skill
transversal competences/skills",,,2017-01-23T10:19:52Z,,http://data.europa.eu/esco/concept-scheme/skills,
SkillGroup,http://data.europa.eu/esco/skill/81c66e05-0b64-4cc5-8707-432f59fb6528,attitudes and values,"attitude and values
values and attitudes
attitude and value",,,2017-02-14T12:01:25Z,"Use for describing behaviour which can be learned, improved and assessed. Do not use for labelling people's character.","http://data.europa.eu/esco/concept-scheme/skill-transversal-groups
http://data.europa.eu/esco/concept-scheme/skills","Individual work styles, preferences and work-related beliefs that underpin behaviour so that knowledge and skills are applied effectively."
